Periodo;Partner;Pais;ID_Link;Nombre_Link;ID_Afiliador;Nombre_Afiliador;Registros;Cantidad_Primeros_Depositos;Valor_Primeros_Depositos
2024-06-01-2024-06-30;Ecuabet;Ecuador;11881;BidQuestEC_GenericoTorneosDeportivos;255431;QuotaMedia_ECEC;0;4;35
2024-06-01-2024-06-30;Ecuabet;Ecuador;8961;FacebookEC_Registro_Sorteo_PuntaCana;255431;QuotaMedia_ECEC;0;3;13,7
2024-06-01-2024-06-30;Ecuabet;Ecuador;9965;AdCashEC_PopUnder_Casino_Mob;255431;QuotaMedia_ECEC;0;6;47,5
2024-06-01-2024-06-30;Ecuabet;Ecuador;12576;FacebookEC_Registro_Bingo_BA;255431;QuotaMedia_ECEC;0;26;104
2024-06-01-2024-06-30;Ecuabet;Ecuador;12223;MGIDEC_Registro_GenericosCasino;255431;QuotaMedia_ECEC;0;1;5
2024-06-01-2024-06-30;Doradobet;Ecuador;12855;FacebookECDorado_Registro_TorneoEcuatoriano_BA;2457236;QuotaMedia_DBEC;0;1;5
2024-06-01-2024-06-30;Doradobet;Ecuador;12849;FacebookECDorado_Registro_LibSud_BA;2457236;QuotaMedia_DBEC;0;1;10
2024-06-01-2024-06-30;Doradobet;Ecuador;12343;FacebookECDorado_Registro_SorteoPrimerDepo;2457236;QuotaMedia_DBEC;0;1;5
2024-06-01-2024-06-30;Ecuabet;Ecuador;9785;PropellerAdsEC_PopUnder_Bono;255431;QuotaMedia_ECEC;0;3;40
2024-06-01-2024-06-30;Doradobet;Perú;12211;MGIDPE_Registro_GenericosCasino;14864;QuotaMedia_DBPE;0;1;20
2024-06-01-2024-06-30;Ecuabet;Ecuador;13335;FacebookEC_Registro_ReelStefanoNavas;255431;QuotaMedia_ECEC;0;3;31,4
2024-06-01-2024-06-30;Doradobet;Ecuador;12828;FacebookECDorado_Registro_RutaDorada_BA;2457236;QuotaMedia_DBEC;0;1;20
2024-06-01-2024-06-30;Doradobet;Perú;13434;VS_promo_registro;14864;QuotaMedia_DBPE;0;4;42
2024-06-01-2024-06-30;Ecuabet;Ecuador;8859;MGIDEC_Registro_Sorteo_PuntaCana;255431;QuotaMedia_ECEC;0;1;9,5
2024-06-01-2024-06-30;Doradobet;Perú;12993;FacebookPE_Registro_500kCasino_Video;46079;Facebook_DBPE;0;1;10
2024-06-01-2024-06-30;Doradobet;Perú;9470;FacebookPE_Registro_Juego3;46079;Facebook_DBPE;0;1;16
2024-06-01-2024-06-30;Ecuabet;Ecuador;12792;BidQuestEC_GanaDobleLaTri;255431;QuotaMedia_ECEC;0;1;10
2024-06-01-2024-06-30;Ecuabet;Ecuador;8379;BetGeniusEC_PokerRuleta;255431;QuotaMedia_ECEC;0;1;20
2024-06-01-2024-06-30;Doradobet;Perú;13854;FacebookPE_Registro_NewLanding;46079;Facebook_DBPE;0;4;62
2024-06-01-2024-06-30;Ecuabet;Ecuador;10076;AdCashEC_PopUnder_Deportes_BonoBienvenida_Mob;255431;QuotaMedia_ECEC;0;6;73
2024-06-01-2024-06-30;Ecuabet;Ecuador;12247;MGIDEC_Registro_LigasEuropeas;255431;QuotaMedia_ECEC;0;3;30
2024-06-01-2024-06-30;Ecuabet;Ecuador;12088;TaboolaEC_Anuncio_BonoBienvenida;255431;QuotaMedia_ECEC;0;1;1
2024-06-01-2024-06-30;Ecuabet;Ecuador;14636;FacebookEC_Registro_Bono_BA;1213088;FacebookEcuabet;0;114;885,88
2024-06-01-2024-06-30;Doradobet;Perú;14243;FacebookPE_Registro_NewLanding_Romina;46079;Facebook_DBPE;0;8;110
2024-06-01-2024-06-30;Doradobet;Perú;10034;SportRadarPE_SorteoSuperFortuna;14864;QuotaMedia_DBPE;0;1;20
2024-06-01-2024-06-30;Doradobet;Costa Rica;15069;PropellerAdsCR_PopUnder_Casino;779030;QuotaMedia_DBCR;0;1;2000
2024-06-01-2024-06-30;Doradobet;Ecuador;14720;FacebookECDorado_Registro_Edison_BA;2457236;QuotaMedia_DBEC;0;2;30
2024-06-01-2024-06-30;Ecuabet;Ecuador;13620;BidQuestEC_PromPasionTricolor;255431;QuotaMedia_ECEC;0;1;20
2024-06-01-2024-06-30;Ecuabet;Ecuador;15096;BidQuestEC_GenericoEliminatorias;255431;QuotaMedia_ECEC;0;1;3
2024-06-01-2024-06-30;Doradobet;Perú;14261;FacebookPE_Registro_EliminatoriasMundial;46079;Facebook_DBPE;0;5;70
2024-06-01-2024-06-30;Ecuabet;Ecuador;8439;BidQuestEC_BonoBienvenida;255431;QuotaMedia_ECEC;0;3;21
2024-06-01-2024-06-30;Ecuabet;Ecuador;9788;PropellerAdsEC_PopUnder_Casino;255431;QuotaMedia_ECEC;0;3;15
2024-06-01-2024-06-30;Ecuabet;Ecuador;9590;TwitterEC_RegistroSelEcuador;255431;QuotaMedia_ECEC;0;1;10
2024-06-01-2024-06-30;Ecuabet;Ecuador;12717;BidQuestEC_VideoGenericoMarcaNuevoSpot;255431;QuotaMedia_ECEC;0;1;10
2024-06-01-2024-06-30;Ecuabet;Ecuador;9605;TwitterEC_Encuestas;255431;QuotaMedia_ECEC;0;1;5
2024-06-01-2024-06-30;Doradobet;Perú;13293;FacebookPE_Registro_CombiLigasEuropeas;46079;Facebook_DBPE;0;1;10
2024-06-01-2024-06-30;Doradobet;Perú;15411;FacebookPE_Registro_GenéricoMLS;46079;Facebook_DBPE;0;1;20
2024-06-01-2024-06-30;Ecuabet;Ecuador;15364;TwitterEC_Registro_Champions_League;255431;QuotaMedia_ECEC;0;1;10
2024-06-01-2024-06-30;Doradobet;Guatemala;10310;AdCashGT_PopUnder_BonoBienvenida;2570626;QuotaMedia_DBGT;0;1;30
2024-06-01-2024-06-30;Doradobet;Perú;11941;FacebookPE_Registro_EuropaLeague;46079;Facebook_DBPE;0;1;20
2024-06-01-2024-06-30;Ecuabet;Ecuador;13257;TaboolaEC_Anuncio_BonoBienvenida_Mob;255431;QuotaMedia_ECEC;0;1;2,5
2024-06-01-2024-06-30;Doradobet;Perú;12699;FacebookPE_Registro_BingoRegalon_Video;46079;Facebook_DBPE;0;1;10
